admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Chattogram Division,70,AMvEzJnrbM8,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Chattogram Division,64,AMvEzJnrbM8,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Chattogram Division,58,AMvEzJnrbM8,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Chattogram Division,24,AMvEzJnrbM8,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Chattogram Division,27,AMvEzJnrbM8,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Chattogram Division,50,AMvEzJnrbM8,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Chattogram Division,73,AMvEzJnrbM8,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Chattogram Division,76,AMvEzJnrbM8,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Chattogram Division,90,AMvEzJnrbM8,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Chattogram Division,78,AMvEzJnrbM8,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Chattogram Division,83,AMvEzJnrbM8,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Chattogram Division,94,AMvEzJnrbM8,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Chattogram Division,6139,AMvEzJnrbM8,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Chattogram Division,5394,AMvEzJnrbM8,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Chattogram Division,7694,AMvEzJnrbM8,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Chattogram Division,1395,AMvEzJnrbM8,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Chattogram Division,1343,AMvEzJnrbM8,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Chattogram Division,1314,AMvEzJnrbM8,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Rangpur Division,630,AN5Q60BAPuN,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Rangpur Division,525,AN5Q60BAPuN,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Rangpur Division,587,AN5Q60BAPuN,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Rangpur Division,142,AN5Q60BAPuN,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Rangpur Division,94,AN5Q60BAPuN,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Rangpur Division,153,AN5Q60BAPuN,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Rangpur Division,14,AN5Q60BAPuN,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Rangpur Division,14,AN5Q60BAPuN,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Rangpur Division,16,AN5Q60BAPuN,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Rangpur Division,26,AN5Q60BAPuN,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Rangpur Division,33,AN5Q60BAPuN,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Rangpur Division,41,AN5Q60BAPuN,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Rangpur Division,26,AN5Q60BAPuN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
